ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
JosefaPortales,JosefaPortales,1893,1973,87208,11494,,Alcorcon (Madrid)
jordiv,jordiv,1333,1839,107357,559,Madrid,Barcelona
corocota,corocota,175,47,12535,28,Paris,
toCarlosHuev0s,toCarlosHuev0s,250,192,24700,2296,Belgrade,Los internets
jpgaipo,jpgaipo,830,953,60262,7988,Madrid,El rectángulo de W. W. Ellis
malyilusionada,malyilusionada,171,100,4445,42,,Aguadulce.   Almeria
Chiky_Godoy,Chiky_Godoy,275,42,263,277,,"Madrid, Comunidad de Madrid"
carlesponsi,carlesponsi,999,3999,17477,6089,Madrid, BCN / Figueres
pintorperez1965,pintorperez1965,1316,1225,29879,4582,,"Sevilla, Andalucía"
dora_nicoletta,dora_nicoletta,10809,12190,240558,213502,,"Barcelona, Catalunya"
rafaeltoussola,rafaeltoussola,2097,1272,23003,998,Madrid,Lebrija
ferrancererols,ferrancererols,380,154,1945,3248,Copenhagen,
Archel_6,Archel_6,338,79,11287,6525,,
Rap_Ulsel,Rap_Ulsel,79,40,1802,2901,,Zaragoza
NaryaBlackfyre,NaryaBlackfyre,346,1337,80632,18084,Greenland,Neverland
galcahut,galcahut,238,35,3487,30,,
jancelbes,jancelbes,2415,2363,54814,21546,Madrid,
manel_martinezg,manel_martinezg,107,133,20813,11366,Madrid,
PerillaCaldes,PerillaCaldes,1473,621,9298,128,Athens,
BenayasBena,BenayasBena,302,196,6011,486,,MADRID
judimendikoa,judimendikoa,190,207,30490,10790,Madrid,Euskal Herria
rycclah,rycclah,934,40,710,2,,
Coyuco24Daniel,Coyuco24Daniel,259,161,8230,5809,,
LUCHALTERNATIVA,LUCHALTERNATIVA,700,2183,21990,1444,Amsterdam,
Altair_BlueWolf,Altair_BlueWolf,22,15,2102,3257,,
mohino50,mohino50,226,71,1890,1607,,
ElPutoKanko,ElPutoKanko,27,16,46,29,Madrid,
SatanasChungo,SatanasChungo,302,1535,350,1063,Athens,Infierno
Ramoniii13,Ramoniii13,257,138,5581,247,Madrid,Barceloneta
ManuelCostoya3,ManuelCostoya3,1760,1405,150841,11105,,
joseplata1958,joseplata1958,828,309,20817,7727,,"Barcelona, España"
charliemcgee1,charliemcgee1,655,476,29711,5771,Casablanca,GC
rohandahl89,rohandahl89,1773,748,59300,1,Pacific Time (US & Canada),
hayansorry,hayansorry,180,208,23401,21274,,
patogiacomino,patogiacomino,4231,4712,63388,37518,Madrid,ALICANTE - Spain
lluviatrisan,lluviatrisan,1077,719,9333,21327,,Aquí mismo
Jos3RG,Jos3RG,149,107,8058,14452,Madrid,
villar_caro,villar_caro,635,276,2812,478,,
TheGarci1,TheGarci1,384,355,6877,2710,,EH - Donostia
Jose_Parish,Jose_Parish,289,342,7740,3529,Madrid,Sevilla
PaniTheBoss,PaniTheBoss,704,11928,101289,103397,Madrid,"Lynchburg, TN - València, PV"
EUSKOGUDARI,EUSKOGUDARI,246,403,41618,153,Athens,"Bizkaia, País Vasco"
sergiomellark,sergiomellark,480,587,28261,24119,Madrid,"Distrito 12, Panem (Leganés)"
calimero_alasal,calimero_alasal,5,4,852,7,,
unamillaunpaso,unamillaunpaso,1829,809,35918,17905,Athens,
MikelPerez87,MikelPerez87,133,93,2058,830,,
TONINOVALENCIA,TONINOVALENCIA,941,735,10684,1548,,Valéncia
Sgarcia12SBD,Sgarcia12SBD,4977,4880,5920,460,,"Sabadell, Catalunya, España"
apcc43,apcc43,3280,939,14459,2080,Madrid,
Emcbng96,Emcbng96,77,86,11978,819,,
TELSONIANA,TELSONIANA,5001,1117,30632,128,,"Ciudad de los Angeles,Madrid"
AnaLlames,AnaLlames,2586,2564,194173,7437,,
aluniza2,aluniza2,880,1256,30558,7526,Madrid,
PabloSofio,PabloSofio,163,337,16623,4708,Amsterdam,"Alovera, España"
Miguel_H_G_,Miguel_H_G_,198,73,294,415,,
