ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
aaron_pkl,aaron_pkl,2017-03-29 23:58:04,"RT @RubenSanchezTW: “Carrero Blanco: De todos mis ascensos, el último fue el más rápido”. Tip y Coll, 1984 #YosoyCassandra https://t.co/zkN…",70,93,5779,1404,London,Estoy se León sity
QuebeboAge,QuebeboAge,2017-03-29 23:58:02,"RT @miky_co: En el tema de Cassandra lo 1º es aclarar si Carrero Blanco es ""víctima del terrorismo"". ¿La lucha armada contra una dictadura…",147,34,1438,1327,,
tsdelaestrella,tsdelaestrella,2017-03-29 23:58:01,"RT @ytuquesabes_: La condena a Cassandra es la prueba de que la dictadura sigue viva, mantenida por PP y PSOE.

Carrero Blanco https://t.co…",964,568,11482,189,,
edcorreo,edcorreo,2017-03-29 23:58:01,"RT @agarzon: Un año de cárcel a la tuitera que hizo chistes sobre Carrero Blanco, un fascista volador. Este régimen está podrido. https://t…",507,116,2152,10599,London,
mix_martes86,mix_martes86,2017-03-29 23:58:01,"RT @PabloMM: Mi padre contaba que tras la muerte de Carrero Blanco, en los bares de confianza, se decía: ""pida vino tinto, el blanco está p…",474,248,23306,4475,Amsterdam,Some place with no feelings
MotrilGaspi,MotrilGaspi,2017-03-29 23:57:59,"RT @agarzon: Un año de cárcel a la tuitera que hizo chistes sobre Carrero Blanco, un fascista volador. Este régimen está podrido. https://t…",273,53,739,27,,Motril
davidrod689,davidrod689,2017-03-29 23:57:58,"RT @pacohortado: Nunca olvidemos que fue Carrero Blanco y sus secuaces quienes fundaron la Audiencia Nacional, bajo el nombre de Tribunal d…",240,231,11525,18283,,
david_zaplana,david_zaplana,2017-03-29 23:57:58,"RT @HermanosPelaez: A ver si lo entiendo:
¿Tiene más condena hacer chistes sobre la muerte de Carrero Blanco QUE MATAR A CARRERO BLANCO?? h…",1264,2279,103156,77327,Pacific Time (US & Canada),"Galiza, URSI"
edcorreo,edcorreo,2017-03-29 23:57:57,"RT @SerranoIsmael: Una vergüenza. Efectivamente todo quedó atado y bien atado.  
https://t.co/rS9t5TcIfd",507,116,2152,10599,London,
FerLimaPano,FerLimaPano,2017-03-29 23:57:56,RT @el_pais: Los 13 tuits sobre Carrero Blanco que han costado un año de cárcel a una joven de 21 años. En @verne recopilamos https://t.co/…,228,62,2286,523,,Santa Cruz de Tenerife-España
Vii1,Vii1,2017-03-29 23:57:52,RT @elmundotoday: Francisco Franco condena a un año de cárcel a una tuitera por hacer chistes sobre Carrero Blanco https://t.co/okckZgltId…,466,435,63981,7932,Madrid,"Madrid, Vía Láctea"
IMP_Manuel,IMP_Manuel,2017-03-29 23:57:47,"RT @Klaseobreratk: Yo estoy con #Cassandra, condenada por chistes sobre Carrero Blanco #YoSoyCassandra. Maximo apoyo @kira_95 https://t.co/…",182,122,2721,1111,Athens,
IreneGL28,IreneGL28,2017-03-29 23:57:47,RT @iunida: ¿Carrero Blanco también regresó al futuro con su coche? #YoSoyCassandra,293,234,9009,9862,Madrid,We can be heroes
la_vinu,la_vinu,2017-03-29 23:57:42,RT @Tremending: Cebrián incluyó este chiste de Carrero Blanco en un libro ¿Será condenado como Cassandra? https://t.co/16ABiRebZz https://t…,34,11,1902,2165,,Siempre perdida
nohxpe_,nohxpe_,2017-03-29 23:57:42,"RT @marimardona: Mejor le hubiera ido a #Cassandra si en vez de contar chistes sobre Carrero Blanco hubiera animado a ""matar moros"" https:/…",223,662,53575,10104,Athens,salud y república
pauldenewcastle,pauldenewcastle,2017-03-29 23:57:36,RT @NTMEP: Para la juventud que no conoce la historia de Carrero Blanco ⬇️ https://t.co/njmHpb8YgE,356,92,5071,11924,,Caudiel
carlosrd97,carlosrd97,2017-03-29 23:57:36,"RT @PabloMM: Mi padre contaba que tras la muerte de Carrero Blanco, en los bares de confianza, se decía: ""pida vino tinto, el blanco está p…",161,252,53099,3214,Athens,On The Telegraph Road
sthrytayes,sthrytayes,2017-03-29 23:57:29,"RT @rcabrero75: Ya lo dijo todo @JoaquimBoschGra sobre los chistes de Carrero Blanco:
""...hemos retrocedido 40 años"" #YoSoyCassandra https:…",1136,1577,81410,15126,,
AlbertAixut,AlbertAixut,2017-03-29 23:57:27,"RT @PabloMM: Mi padre contaba que tras la muerte de Carrero Blanco, en los bares de confianza, se decía: ""pida vino tinto, el blanco está p…",776,328,4262,5147,Madrid,"Rio de Janeiro, Brazil"
Boular99,Boular99,2017-03-29 23:57:27,RT @NTMEP: Para la juventud que no conoce la historia de Carrero Blanco ⬇️ https://t.co/njmHpb8YgE,176,29,1189,178,,"Murcia, Región de Murcia"
ruy78,ruy78,2017-03-29 23:57:27,RT @cayeruby: Momentos Históricos: El señor X haciendo chistes sobre Carrero Blanco sin ser condenado. https://t.co/lcpgb3ntb2,29,27,4844,3816,London,"España,Canarias,Tenerife"
CaamanoDL,CaamanoDL,2017-03-29 23:57:26,RT @iunida: ¿Carrero Blanco también regresó al futuro con su coche? #YoSoyCassandra,1413,188,6038,3989,Madrid,"Mazaricos, España"
BraumC_D_L,BraumC_D_L,2017-03-29 23:57:25,"RT @CruzadaPorEurop: Ni Carrero Blanco ni pobre Cassandra ni gaitas, que no engañáis a nadie, poco le ha caído a ese bicho. https://t.co/sK…",121,28,689,774,,libre 
bertaga14,bertaga14,2017-03-29 23:57:25,RT @Virgginni: Yo también me río con los chistes de Carrero y su viaje espacial financiado por ETA |  firma el manifiesto.@ctxt_es https://…,2470,2417,47866,32345,,
MLuzMartinGutie,MLuzMartinGutie,2017-03-29 23:57:24,"RT @acampadazgz: RT AsambleaHuesca: Solo fascismo o locura, convenientemente adobados con #LeyesMordaza, pueden explicar la condena… https:…",92,74,6088,29,,
BeatrizGimeno1,BeatrizGimeno1,2017-03-29 23:57:24,"RT @_ju1_: Dejo esto: Cassandra, Carrero Blanco, Código Penal y mordaza. 

1. https://t.co/lLsrjATdYV

2. https://t.co/f4p9YhtxiJ

Poco más…",364,14483,28264,2362,,madrid
ferranrmdeusbcn,ferranrmdeusbcn,2017-03-29 23:57:23,"RT @SenoritaPuri: Indignante el tuit de Carrero Blanco y ejemplar la sentencia contra la tuitera. En España hay justicia. Perdón, estas no…",420,270,15041,1324,Amsterdam,
dinamitaya,dinamitaya,2017-03-29 23:57:22,"RT @PDLI_: Condenamos la sentencia contra @kira_95 porque es un claro ataque a la libertad de expresión.
Nuestra valoración 👇👇👇
https://t.c…",84,93,6950,6190,,
josema98_web,josema98_web,2017-03-29 23:57:19,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",237,151,6733,1485,Athens,Almería
er_retuiteado,er_retuiteado,2017-03-29 23:57:19,"RT @Klaseobreratk: Carrero Blanco es 1 fascista muerto @adrianfutsal_ ,HazteOir cometen delito de odio transfobo,parece mentira que en SXXI…",2684,1162,80900,5,Pacific Time (US & Canada),
estupefalso,estupefalso,2017-03-29 23:57:19,"RT @franmaop: En España se defiende, desde la democracia, a un responsable de una dictadura como fue Carrero Blanco.",1071,793,97148,8160,,
CaamanoDL,CaamanoDL,2017-03-29 23:57:16,RT @gerardotc: Mi chiste preferido de Carrero Blanco es el que contó alguien que tiene inmunidad. https://t.co/ttGOBcvdPy,1413,188,6038,3989,Madrid,"Mazaricos, España"
ccbeep,ccbeep,2017-03-29 23:57:15,"RT @RubenSanchezTW: “Carrero Blanco: De todos mis ascensos, el último fue el más rápido”. Tip y Coll, 1984 #YosoyCassandra https://t.co/zkN…",426,75,582,881,,
Pink2627,Pink2627,2017-03-29 23:57:10,RT @Berlustinho: Os dejo unos cuantos chistes sobre Carrero Blanco condenados con cárcel: https://t.co/TfiDgzyFU7,174,141,11322,3629,,
PioHueco,PioHueco,2017-03-29 23:57:09,"RT @HermanosPelaez: A ver si lo entiendo:
¿Tiene más condena hacer chistes sobre la muerte de Carrero Blanco QUE MATAR A CARRERO BLANCO?? h…",166,148,8697,2153,Dublin,
anderaz,anderaz,2017-03-29 23:57:08,RT @bufetalmeida: Caso Cassandra: un ridículo jurídico nacional (que se convertirá en internacional). https://t.co/B40AG5RM8N,121,15,382,138,,
jvmendezdeleon,jvmendezdeleon,2017-03-29 23:57:05,RT @ForretsGump: Nunca echaría una lágrima por Hitler como nunca la echaría por Carrero Blanco. En España se protege mas a los dictadores q…,4204,4982,118613,4415,Europe/Madrid,A  modo porque vamos lonxe
Blaiescoda,Blaiescoda,2017-03-29 23:57:05,"RT @Well086: Que tontos sois haciendo chistes de Carrero blanco, cuando podéis hacer chistes de los catalanes que nunca os pasará nada coño…",726,407,11471,1241,Madrid,
LauraArrias,LauraArrias,2017-03-29 23:56:59,RT @AnitaBotwin: Sólo hay un fallo en lo de Carrero Blanco. Que no fuera Franco de copiloto.,439,356,2677,415,Caracas,República Bolivariana de Vzla
MariaLute7,MariaLute7,2017-03-29 23:56:55,"RT @RubenSanchezTW: “Carrero Blanco: De todos mis ascensos, el último fue el más rápido”. Tip y Coll, 1984 #YosoyCassandra https://t.co/zkN…",737,908,75237,23454,Greenland,
agarces94,agarces94,2017-03-29 23:56:52,RT @elmundotoday: Francisco Franco condena a un año de cárcel a una tuitera por hacer chistes sobre Carrero Blanco https://t.co/okckZgltId…,782,419,24325,11203,Madrid,In medio virtus.
miguellaws1,miguellaws1,2017-03-29 23:56:49,"RT @respetocanas: Tip y Coll sobre Carrero Blanco. Del libro ""Tipycollorgía"". Año 1984. Hace 33 años. 

HACE 33 AÑOS. https://t.co/oA5ITLm5…",118,60,5814,601,Madrid,
angsimpa,angsimpa,2017-03-29 23:56:47,"RT @SiPeroNo1: Carrero Blanco era un canalla franquista que en Argentina hubiera muerto en la cárcel como Videla. Lo digo, por si la Audien…",3974,4419,330795,129470,Madrid,
YORYO25MD,YORYO25MD,2017-03-29 23:56:46,RT @iunida: Carrero Blanco: #GanasDeTelepizza. #YoSoyCassandra https://t.co/dNafCQsxz4,644,627,99101,2682,,"Madrid, Villa Vallecas"
ceuveerre13,ceuveerre13,2017-03-29 23:56:44,RT @iunida: ¿Carrero Blanco también regresó al futuro con su coche? #YoSoyCassandra,163,115,10148,4337,,"Gijón, España"
ibosim,ibosim,2017-03-29 23:56:43,"RT @ytuquesabes_: La condena a Cassandra es la prueba de que la dictadura sigue viva, mantenida por PP y PSOE.

Carrero Blanco https://t.co…",59,108,7483,704,Madrid,Sant Antoni
coapicito,coapicito,2017-03-29 23:56:43,RT @Vozdunciudadano: #DeLocura: Condenan en España a un año de prisión a una tuitera por chistes sobre Carrero Blanco al estilo de una pura…,1255,573,17552,137,Madrid,
zapoteckz,zapoteckz,2017-03-29 23:56:43,"RT @arturbot0: Lo único trágico en la muerte de Carrero Blanco es que no le pueda pasar otra vez, aunque a veces parece que sigue al mando…",159,146,5269,1709,Athens,"Madrid, Comunidad de Madrid"
