ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
esquivando,esquivando,2017-03-28 12:09:00,"RT @bufetalmeida: Que intervenga la Guardia Civil de oficio, por favor. Si son tan rápidos con Carrero Blanco, que lo sean también con el H…",53,98,13264,4799,Madrid,
MarinaGarcia_14,MarinaGarcia_14,2017-03-28 12:08:05,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",1241,716,13593,3092,Athens, (Girl in a suitcase) Avilés
ciuda_co,ciuda_co,2017-03-28 12:07:58,"RT @SiPeroNo1: En España, cuando hablan del pacto antiterrorista de PP y PSOE, se refieren a encarcelar a tuiteros por hacer chistes sobre…",211,23,592,2,,Españastan
SRAM7777,SRAM7777,2017-03-28 12:06:48,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",302,245,21258,1256,,
Josepbenaiges,Josepbenaiges,2017-03-28 12:05:16,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",610,463,5044,3330,Athens,Cabra Feixet - El Perelló
lulu6019,lulu6019,2017-03-28 12:04:42,"RT @bufetalmeida: Que intervenga la Guardia Civil de oficio, por favor. Si son tan rápidos con Carrero Blanco, que lo sean también con el H…",933,594,33937,18192,Amsterdam,
iuogijares,iuogijares,2017-03-28 12:04:23,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",190,273,16423,20,Athens,Ogíjares (Granada)
JuanLlobell,JuanLlobell,2017-03-28 12:04:11,"RT @bufetalmeida: Que intervenga la Guardia Civil de oficio, por favor. Si son tan rápidos con Carrero Blanco, que lo sean también con el H…",189,226,47792,56193,Madrid,Comunidad Valenciana
voygliz_,voygliz_,2017-03-28 12:04:10,"RT @bufetalmeida: Que intervenga la Guardia Civil de oficio, por favor. Si son tan rápidos con Carrero Blanco, que lo sean también con el H…",110,70,12241,16332,Pacific Time (US & Canada),
fra1malo,fra1malo,2017-03-28 12:03:23,"RT @bufetalmeida: Que intervenga la Guardia Civil de oficio, por favor. Si son tan rápidos con Carrero Blanco, que lo sean también con el H…",793,1198,40961,64418,Madrid,República Catalana 
pirulo_rivera,pirulo_rivera,2017-03-28 12:03:03,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",442,24,1940,431,,Huelva España
rcko3,rcko3,2017-03-28 12:02:57,RT @ximoilicitano14: #PolemicaPodemosM4 @agarzon :K unos tuiteros sean juzgados x terrorismo x hacer chistes d Carrero Blanco ¡eso pasa sól…,2131,2205,198601,27171,,
