ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
jorge6880,jorge6880,612,203,6192,9175,Greenland,
GatoHitleriano,GatoHitleriano,929,5808,252580,146066,Madrid,Lago de Fuego Eterno de Satán.
rapgenetic,rapgenetic,923,4518,96470,110466,Brussels,
SrLejia,SrLejia,977,9393,66536,149242,Madrid,FAVcueva
NewZASTeam,NewZASTeam,811,748,20398,3852,Madrid,Santander
XxtianMCH,XxtianMCH,3667,2325,90005,58697,Lisbon,Madrid
juancapergon,juancapergon,380,120,4377,2402,,"Santa Cruz de Tenerife, España"
Bape_Sergio,Bape_Sergio,128,134,5766,2635,Pacific Time (US & Canada),Soledad
Jamilio12,Jamilio12,555,346,17428,575,,
rosvalarg,rosvalarg,2648,2616,159227,63561,Madrid,Huelva. Huelva.
davizm_g_9797,davizm_g_9797,520,259,17330,5385,Madrid,"Valencia, España"
KeydayNeck,KeydayNeck,273,221,4944,2454,Madrid,"Barcelona, España"
846jose,846jose,782,695,19014,11903,,Palma
Pauetoo,Pauetoo,121,80,453,585,Pacific Time (US & Canada),
abrukadabru,abrukadabru,165,617,90122,2076,Madrid,galiza caníbal
IrxnWizard,IrxnWizard,364,161,16924,8160,Pacific Time (US & Canada),Los 90's
korsarakov,korsarakov,812,2269,118894,26570,Amsterdam,País Valencià.
perecullera,perecullera,1480,1928,49762,11074,Amsterdam,
ivanagq_7,ivanagq_7,748,293,10477,9683,,"Madrid, Comunidad de Madrid"
IfeOcio,IfeOcio,1132,900,35521,58,,20870-Elgoibar
DaniCadiz28,DaniCadiz28,7861,9372,134318,63431,Amsterdam,El Puerto de Santa María
aaronrpgi36,aaronrpgi36,266,66,3516,2040,Madrid,"Gijón, España"
RafaGijon69,RafaGijon69,407,354,26668,1913,,"La Luna, Satélite de La Tierra"
Trix69Luisma,Trix69Luisma,2011,1355,44230,42165,Pacific Time (US & Canada),
Joseadpg,Joseadpg,1216,1610,108243,91542,Madrid,Madrid. España
maximors63,maximors63,4228,5396,252863,58251,,Las Palmas de Gran Canaria
Kara_Querida,Kara_Querida,258,307,49452,7584,Madrid,Neverland.
laovejaroja17,laovejaroja17,108,109,344,223,,"Cataluña, España"
Cioffi_,Cioffi_,139,145,2389,629,,
TeresaMontao,TeresaMontao,95,1059,199363,47864,,
guillermofdezg,guillermofdezg,944,1349,43724,158591,Europe/Madrid,ciudad de leones
frycob,frycob,1658,1502,9213,16566,Pacific Time (US & Canada),Africa Occ.Canary Islands
TrafalgarDeito,TrafalgarDeito,94,138,9529,10405,Amsterdam,Comprando en Aliexpress
