ID,User,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
846113847505276932,Tirriji,2017-03-26 21:37:15,"@Irene_Montero_ Trabajan mucho persiguiendo chistes de Carrero Blanco, mientras estos corruptos en la calle...",160,46,289,335,,
846113596107112449,Jervo_Vivaz,2017-03-26 21:36:15,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",135,41,1185,2074,,"Salamanca, España"
846113434924134400,neis_98,2017-03-26 21:35:37,"RT @Berlustinho: ""Joder, se me ha pasado la hora volando.""

Carrero Blanco",618,615,45900,7647,Madrid,Galicia
846113226576285698,Paaaaugm,2017-03-26 21:34:47,RT @daviniaweasley: Y estas cosas no las podemos denunciar @policia? O solo se va a cárcel si se habla de Carrero Blanco? https://t.co/mO0I…,86,40,11504,8596,Athens,"Santa Cruz de Tenerife, Islas "
846112665722347520,nanais1993,2017-03-26 21:32:34,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",252,75,10550,2260,,Asturias
846112273668210690,IgnacioHinojosa,2017-03-26 21:31:00,"RT @Berlustinho: ""Joder, se me ha pasado la hora volando.""

Carrero Blanco",423,517,3166,237,Madrid,
846112256370839554,Lacarrrpa,2017-03-26 21:30:56,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",912,6287,119529,218755,Madrid,
846112085419405316,IviramAlonso,2017-03-26 21:30:15,RT @Lolo_Sev: Menos mal que los que deseaban la muerte de @ahorapodemos y simpatizantes no hicieron ningún chiste sobre Carrero Blanco http…,1445,1447,38789,34267,Belgrade,BCN
846111910995148800,Etheldien,2017-03-26 21:29:34,"@josecg96 @alonso_dm @_yeda_ @ContraGenocidas Para hijos de perra ya están el General Francisco Franco, Primo de Rivera, Carrero Blanco...",131,104,4799,1510,Greenland,"日本 東京, Japón Tokio"
846111774982180864,Suprat__,2017-03-26 21:29:01,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",78,190,957,262,Amsterdam,
846111274391998465,Eccehumus,2017-03-26 21:27:02,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",738,5583,50874,166365,Amsterdam,En mi Macondo particular
846111101263773696,19dmcj67,2017-03-26 21:26:21,"RT @quiquepeinado: Si lo llega a decir de los hijos de Carrero Blanco, al talego. Pero no. https://t.co/fDBwUHRkN9",199,52,3718,738,,
846111013070082048,chooccha,2017-03-26 21:26:00,RT @LadyNyme: Pasen por los TT de Alsasua y Carrero Blanco para ver a la España franquista en todo su esplendor.,579,148,6216,3396,Amsterdam,
846110980832739329,Aitor_Iribar,2017-03-26 21:25:52,"RT @subversivos_: PONLE CHISTE A LA IMAGEN: 15 chistes sobre Carrero Blanco firmados por usuarios de Internet @eljueves ¡VALIENTES! ✊
https…",234,196,10145,4868,,
846110928311595010,malborillo,2017-03-26 21:25:39,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",206,3038,41754,45421,Madrid,En la playa 
